2025-03-06 18:53:30,988 Epochs: [66/300]; Train loss: 0.087348; Valid loss: 0.065582; mapping: 0.000000; lr: 0.000001 

2025-03-06 18:58:32,803 Epochs: [67/300]; Train loss: 0.088077; Valid loss: 0.064918; mapping: 0.000000; lr: 0.000001 

2025-03-06 19:03:34,314 Epochs: [68/300]; Train loss: 0.087308; Valid loss: 0.064582; mapping: 0.000000; lr: 0.000001 

2025-03-06 19:08:33,685 Epochs: [69/300]; Train loss: 0.087206; Valid loss: 0.065940; mapping: 0.000000; lr: 0.000001 

2025-03-06 19:13:28,280 Epochs: [70/300]; Train loss: 0.088056; Valid loss: 0.065391; mapping: 0.000000; lr: 0.000001 

2025-03-06 19:18:25,100 Epochs: [71/300]; Train loss: 0.088206; Valid loss: 0.066885; mapping: 0.000000; lr: 0.000001 

2025-03-06 19:23:20,549 Epochs: [72/300]; Train loss: 0.088538; Valid loss: 0.065537; mapping: 0.000000; lr: 0.000001 

2025-03-06 19:28:19,646 Epochs: [73/300]; Train loss: 0.088013; Valid loss: 0.065408; mapping: 0.000000; lr: 0.000001 

2025-03-06 19:33:18,414 Epochs: [74/300]; Train loss: 0.087353; Valid loss: 0.065838; mapping: 0.000000; lr: 0.000001 

2025-03-06 19:38:14,305 Epochs: [75/300]; Train loss: 0.086759; Valid loss: 0.064776; mapping: 0.000000; lr: 0.000001 

2025-03-06 19:43:09,549 Epochs: [76/300]; Train loss: 0.087760; Valid loss: 0.065012; mapping: 0.000000; lr: 0.000001 

2025-03-06 19:48:07,526 Epochs: [77/300]; Train loss: 0.088366; Valid loss: 0.066010; mapping: 0.000000; lr: 0.000001 

2025-03-06 19:53:04,736 Epochs: [78/300]; Train loss: 0.087619; Valid loss: 0.064731; mapping: 0.000000; lr: 0.000001 

2025-03-06 19:58:00,776 Epochs: [79/300]; Train loss: 0.088404; Valid loss: 0.065693; mapping: 0.000000; lr: 0.000001 

2025-03-06 20:02:59,632 Epochs: [80/300]; Train loss: 0.087288; Valid loss: 0.066013; mapping: 0.000000; lr: 0.000001 

2025-03-06 20:07:56,403 Epochs: [81/300]; Train loss: 0.087789; Valid loss: 0.066998; mapping: 0.000000; lr: 0.000001 

2025-03-06 20:12:55,378 Epochs: [82/300]; Train loss: 0.086764; Valid loss: 0.064851; mapping: 0.000000; lr: 0.000001 

2025-03-06 20:17:52,882 Epochs: [83/300]; Train loss: 0.087567; Valid loss: 0.066026; mapping: 0.000000; lr: 0.000001 

